!SOT
401065!xor esi, edi!RR_esi_e2f12b51_edi_658698e3!WR_esi_8777b3b2
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_886d8da0_edx_11a25cca!WR_edi_9a0fea6a
40106a!xor esi, edi!RR_esi_8777b3b2_edi_9a0fea6a!WR_esi_1d7859d8
40106c!sub eax, esi!RR_eax_1ec0aa3e_esi_1d7859d8!WR_eax_1485066
40106e!mov esi, eax!RR_eax_1485066!WR_esi_1485066
401070!shr esi, 0x5!RR_esi_1485066!WR_esi_a4283
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_a4283!WR_esi_deb80165
401076!mov edi, eax!RR_eax_1485066!WR_edi_1485066
401078!shl edi, 0x4!RR_edi_1485066!WR_edi_14850660
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_14850660!WR_edi_f332c541
40107e!xor esi, edi!RR_esi_deb80165_edi_f332c541!WR_esi_2d8ac424
401080!lea edi, ptr [edx+eax*1]!RR_eax_1485066_edx_11a25cca!WR_edi_12eaad30
401083!xor esi, edi!RR_esi_2d8ac424_edi_12eaad30!WR_esi_3f606914
401085!sub ecx, esi!RR_ecx_886d8da0_esi_3f606914!WR_ecx_490d248c
401087!add edx, 0x61c88647!RR_edx_11a25cca!WR_edx_736ae311
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_1a!RR_ebp_12ff54!WM_12ff50_4_19
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_490d248c!WR_esi_490d248c
401057!shr esi, 0x5!RR_esi_490d248c!WR_esi_2486924
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_2486924!WR_esi_e0f62808
40105d!mov edi, ecx!RR_ecx_490d248c!WR_edi_490d248c
40105f!shl edi, 0x4!RR_edi_490d248c!WR_edi_90d248c0
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_90d248c0!WR_edi_6f8007a3
401065!xor esi, edi!RR_esi_e0f62808_edi_6f8007a3!WR_esi_8f762fab
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_490d248c_edx_736ae311!WR_edi_bc78079d
40106a!xor esi, edi!RR_esi_8f762fab_edi_bc78079d!WR_esi_330e2836
40106c!sub eax, esi!RR_eax_1485066_esi_330e2836!WR_eax_ce3a2830
40106e!mov esi, eax!RR_eax_ce3a2830!WR_esi_ce3a2830
401070!shr esi, 0x5!RR_esi_ce3a2830!WR_esi_671d141
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_671d141!WR_esi_e51f9023
401076!mov edi, eax!RR_eax_ce3a2830!WR_edi_ce3a2830
401078!shl edi, 0x4!RR_edi_ce3a2830!WR_edi_e3a28300
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_e3a28300!WR_edi_c25041e1
40107e!xor esi, edi!RR_esi_e51f9023_edi_c25041e1!WR_esi_274fd1c2
401080!lea edi, ptr [edx+eax*1]!RR_eax_ce3a2830_edx_736ae311!WR_edi_41a50b41
401083!xor esi, edi!RR_esi_274fd1c2_edi_41a50b41!WR_esi_66eada83
401085!sub ecx, esi!RR_ecx_490d248c_esi_66eada83!WR_ecx_e2224a09
401087!add edx, 0x61c88647!RR_edx_736ae311!WR_edx_d5336958
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_19!RR_ebp_12ff54!WM_12ff50_4_18
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_e2224a09!WR_esi_e2224a09
401057!shr esi, 0x5!RR_esi_e2224a09!WR_esi_7111250
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_7111250!WR_esi_e5bed134
40105d!mov edi, ecx!RR_ecx_e2224a09!WR_edi_e2224a09
40105f!shl edi, 0x4!RR_edi_e2224a09!WR_edi_2224a090
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_2224a090!WR_edi_d25f73
401065!xor esi, edi!RR_esi_e5bed134_edi_d25f73!WR_esi_e56c8e47
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_e2224a09_edx_d5336958!WR_edi_b755b361
40106a!xor esi, edi!RR_esi_e56c8e47_edi_b755b361!WR_esi_52393d26
40106c!sub eax, esi!RR_eax_ce3a2830_esi_52393d26!WR_eax_7c00eb0a
40106e!mov esi, eax!RR_eax_7c00eb0a!WR_esi_7c00eb0a
401070!shr esi, 0x5!RR_esi_7c00eb0a!WR_esi_3e00758
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_3e00758!WR_esi_e28dc63a
401076!mov edi, eax!RR_eax_7c00eb0a!WR_edi_7c00eb0a
401078!shl edi, 0x4!RR_edi_7c00eb0a!WR_edi_c00eb0a0
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_c00eb0a0!WR_edi_9ebc6f81
40107e!xor esi, edi!RR_esi_e28dc63a_edi_9ebc6f81!WR_esi_7c31a9bb
401080!lea edi, ptr [edx+eax*1]!RR_eax_7c00eb0a_edx_d5336958!WR_edi_51345462
401083!xor esi, edi!RR_esi_7c31a9bb_edi_51345462!WR_esi_2d05fdd9
401085!sub ecx, esi!RR_ecx_e2224a09_esi_2d05fdd9!WR_ecx_b51c4c30
401087!add edx, 0x61c88647!RR_edx_d5336958!WR_edx_36fbef9f
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_18!RR_ebp_12ff54!WM_12ff50_4_17
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_b51c4c30!WR_esi_b51c4c30
401057!shr esi, 0x5!RR_esi_b51c4c30!WR_esi_5a8e261
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_5a8e261!WR_esi_e456a145
40105d!mov edi, ecx!RR_ecx_b51c4c30!WR_edi_b51c4c30
40105f!shl edi, 0x4!RR_edi_b51c4c30!WR_edi_51c4c300
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_51c4c300!WR_edi_307281e3
401065!xor esi, edi!RR_esi_e456a145_edi_307281e3!WR_esi_d42420a6
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_b51c4c30_edx_36fbef9f!WR_edi_ec183bcf
40106a!xor esi, edi!RR_esi_d42420a6_edi_ec183bcf!WR_esi_383c1b69
40106c!sub eax, esi!RR_eax_7c00eb0a_esi_383c1b69!WR_eax_43c4cfa1
40106e!mov esi, eax!RR_eax_43c4cfa1!WR_esi_43c4cfa1
