!SOT
4010c0!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_4ce2e000!RR_ebp_12ff54!WR_ecx_4ce2e000
4010c3!sub ecx, eax!RR_eax_7e01b9d_ecx_4ce2e000!WR_ecx_4502c463
4010c5!mov dword ptr [ebp-0x24], ecx!RR_ecx_4502c463_ebp_12ff54!WM_12ff30_4_4502c463
4010c8!mov edx, dword ptr [ebp-0x10]!RM_12ff44_4_8a8043ae!RR_ebp_12ff54!WR_edx_8a8043ae
4010cb!sub edx, dword ptr [ebp-0x1c]!RM_12ff38_4_9e3779b9!RR_edx_8a8043ae_ebp_12ff54!WR_edx_ec48c9f5
4010ce!mov dword ptr [ebp-0x10], edx!RR_edx_ec48c9f5_ebp_12ff54!WM_12ff44_4_ec48c9f5
4010d1!jmp 0x401071
401071!mov eax, dword ptr [ebp-0x4]!RM_12ff50_4_2!RR_ebp_12ff54!WR_eax_2
401074!add eax, 0x1!RR_eax_2!WR_eax_3
401077!mov dword ptr [ebp-0x4], eax!RR_eax_3_ebp_12ff54!WM_12ff50_4_3
40107a!cmp dword ptr [ebp-0x4], 0x20!RM_12ff50_4_3!RR_ebp_12ff54
40107e!jnb 0x4010d3
401080!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_4502c463!RR_ebp_12ff54!WR_ecx_4502c463
401083!shl ecx, 0x4!RR_ecx_4502c463!WR_ecx_502c4630
401086!add ecx, dword ptr [ebp-0x18]!RM_12ff3c_4_deadbee3!RR_ecx_502c4630_ebp_12ff54!WR_ecx_2eda0513
401089!mov edx, dword ptr [ebp-0x24]!RM_12ff30_4_4502c463!RR_ebp_12ff54!WR_edx_4502c463
40108c!add edx, dword ptr [ebp-0x10]!RM_12ff44_4_ec48c9f5!RR_edx_4502c463_ebp_12ff54!WR_edx_314b8e58
40108f!xor ecx, edx!RR_ecx_2eda0513_edx_314b8e58!WR_ecx_1f918b4b
401091!mov eax, dword ptr [ebp-0x24]!RM_12ff30_4_4502c463!RR_ebp_12ff54!WR_eax_4502c463
401094!shr eax, 0x5!RR_eax_4502c463!WR_eax_2281623
401097!add eax, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee4!RR_eax_2281623_ebp_12ff54!WR_eax_e0d5d507
40109a!xor ecx, eax!RR_eax_e0d5d507_ecx_1f918b4b!WR_ecx_ff445e4c
40109c!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_91a51def!RR_ebp_12ff54!WR_edx_91a51def
40109f!sub edx, ecx!RR_ecx_ff445e4c_edx_91a51def!WR_edx_9260bfa3
4010a1!mov dword ptr [ebp-0xc], edx!RR_edx_9260bfa3_ebp_12ff54!WM_12ff48_4_9260bfa3
4010a4!mov eax, dword ptr [ebp-0xc]!RM_12ff48_4_9260bfa3!RR_ebp_12ff54!WR_eax_9260bfa3
4010a7!shl eax, 0x4!RR_eax_9260bfa3!WR_eax_260bfa30
4010aa!add eax, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee1!RR_eax_260bfa30_ebp_12ff54!WR_eax_4b9b911
4010ad!mov ecx, dword ptr [ebp-0xc]!RM_12ff48_4_9260bfa3!RR_ebp_12ff54!WR_ecx_9260bfa3
4010b0!add ecx, dword ptr [ebp-0x10]!RM_12ff44_4_ec48c9f5!RR_ecx_9260bfa3_ebp_12ff54!WR_ecx_7ea98998
4010b3!xor eax, ecx!RR_eax_4b9b911_ecx_7ea98998!WR_eax_7a103089
4010b5!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_9260bfa3!RR_ebp_12ff54!WR_edx_9260bfa3
4010b8!shr edx, 0x5!RR_edx_9260bfa3!WR_edx_49305fd
4010bb!add edx, dword ptr [ebp-0x20]!RM_12ff34_4_deadbee2!RR_edx_49305fd_ebp_12ff54!WR_edx_e340c4df
4010be!xor eax, edx!RR_eax_7a103089_edx_e340c4df!WR_eax_9950f456
