Loop detection on 5736 instructions... Done
Dynamic instructions... Done
         789516 function calls (788906 primitive calls) in 2.895 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pyparsing.py:154(_Constants)
       40    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        8    0.000    0.000    0.000    0.000 loopTrace.py:436(closeLoop)
       12    0.000    0.000    0.000    0.000 pyparsing.py:453(_asStringList)
       19    0.000    0.000    0.000    0.000 sre_parse.py:263(_escape)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1506(parseImpl)
       80    0.000    0.000    0.000    0.000 {getattr}
       25    0.000    0.000    0.000    0.000 pyparsing.py:1375(__str__)
       22    0.000    0.000    0.000    0.000 pyparsing.py:317(__getitem__)
      105    0.000    0.000    0.000    0.000 {unichr}
        1    0.000    0.000    0.000    0.000 threading.py:737(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:841(setParseAction)
       11    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3215(<lambda>)
       30    0.000    0.000    0.000    0.000 pyparsing.py:365(__bool__)
       22    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 pyparsing.py:2045(__init__)
       74    0.000    0.000    0.000    0.000 pyparsing.py:1381(streamline)
       15    0.000    0.000    0.000    0.000 loopTrace.py:190(equal)
       62    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {map}
       70    0.000    0.000    0.000    0.000 pyparsing.py:909(postParse)
        1    0.000    0.000    0.000    0.000 weakref.py:6(<module>)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1331(setWhitespaceChars)
       24    0.000    0.000    0.000    0.000 {_sre.compile}
        3    0.000    0.000    0.000    0.000 pyparsing.py:3015(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2301(setResultsName)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1305(__invert__)
        1    0.000    0.000    0.000    0.000 threading.py:424(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:258(_ParseResultsWithOffset)
        1    0.000    0.000    0.000    0.000 {open}
        6    0.000    0.000    0.000    0.000 loopTrace.py:209(__init__)
       34    0.000    0.000    0.000    0.000 {max}
        2    0.000    0.000    0.000    0.000 pyparsing.py:2677(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2076(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2813(__str__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:747(_normalizeParseActionArgs)
        5    0.000    0.000    0.000    0.000 re.py:206(escape)
       24    0.000    0.000    0.000    0.000 sre_parse.py:73(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method match}
       13    0.000    0.000    0.000    0.000 pyparsing.py:1728(charsAsStr)
       32    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 pyparsing.py:2101(__init__)
       33    0.000    0.000    0.000    0.000 sre_parse.py:140(__setitem__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2799(parseImpl)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2710(__init__)
       40    0.000    0.000    0.000    0.000 {id}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:261(__getitem__)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 pyparsing.py:2484(__str__)
        1    0.000    0.000    0.000    0.000 threading.py:357(Event)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1410(getException)
        1    0.000    0.000    0.000    0.000 threading.py:364(__init__)
        8    0.000    0.000    0.000    0.000 loopTrace.py:140(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:174(Condition)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3027(__init__)
        8    0.000    0.000    0.000    0.000 loopTrace.py:90(pop)
       25    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 loopTrace.py:87(push)
        1    0.000    0.000    0.000    0.000 threading.py:374(set)
        6    0.000    0.000    0.000    0.000 pyparsing.py:369(keys)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2311(And)
        2    0.000    0.000    0.000    0.000 threading.py:179(__init__)
       10    0.000    0.000    0.000    0.000 {repr}
       17    0.000    0.000    0.000    0.000 pyparsing.py:1323(leaveWhitespace)
       11    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
       16    0.000    0.000    0.000    0.000 pyparsing.py:3058(postParse)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2145(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:412(Thread)
       12    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
        1    0.000    0.000    0.000    0.000 threading.py:288(notifyAll)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2127(__init__)
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
       12    0.000    0.000    0.000    0.000 {built-in method group}
       12    0.000    0.000    0.000    0.000 {built-in method end}
        1    0.000    0.000    0.000    0.000 pyparsing.py:1460(__init__)
        2    0.000    0.000    0.000    0.000 loopTrace.py:202(addInstance)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        3    0.000    0.000    0.000    0.000 sre_parse.py:89(closegroup)
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {function seed at 0x0248C4B0}
        1    0.000    0.000    0.000    0.000 pyparsing.py:666(ParserElement)
        6    0.000    0.000    0.000    0.000 pyparsing.py:171(__init__)
